
1,Time,Displacement,Force
,(s),(mm),(N)
"","13.1800","0.2179","0.1104"
"","13.2000","0.2182","0.1225"
"","13.2200","0.2185","0.0904"
"","13.2400","0.2188","0.1194"
"","13.2600","0.2191","0.0889"
"","13.2800","0.2195","0.0611"
"","13.3000","0.2197","0.0890"
"","13.3200","0.2200","0.1197"
"","13.3400","0.2203","0.1980"
"","13.3600","0.2206","0.1311"
"","13.3800","0.2209","0.0504"
"","13.4000","0.2213","0.1265"
"","13.4200","0.2217","0.1258"
"","13.4400","0.2221","0.0450"
"","13.4600","0.2225","0.0780"
"","13.4800","0.2228","0.1158"
"","13.5000","0.2232","0.1366"
"","13.5200","0.2235","0.1575"
"","13.5400","0.2238","0.2138"
"","13.5600","0.2242","0.1375"
"","13.5800","0.2246","0.1029"
"","13.6000","0.2250","0.1340"
"","13.6200","0.2253","0.0796"
"","13.6400","0.2255","0.1350"
"","13.6600","0.2258","0.1921"
"","13.6800","0.2260","0.2346"
"","13.7000","0.2262","0.1267"
"","13.7200","0.2265","0.1151"
"","13.7400","0.2269","0.1331"
"","13.7600","0.2273","0.1422"
"","13.7800","0.2278","0.1841"
"","13.8000","0.2282","0.2080"
"","13.8200","0.2286","0.1573"
"","13.8400","0.2289","0.1253"
"","13.8600","0.2292","0.1553"
"","13.8800","0.2295","0.1984"
"","13.9000","0.2298","0.1335"
"","13.9200","0.2301","0.0753"
"","13.9400","0.2305","0.1075"
"","13.9600","0.2308","0.0973"
"","13.9800","0.2311","0.1546"
"","14.0000","0.2314","0.2053"
"","14.0200","0.2316","0.2903"
"","14.0400","0.2319","0.2853"
"","14.0600","0.2322","0.1695"
"","14.0800","0.2326","0.2113"
"","14.1000","0.2329","0.1623"
"","14.1200","0.2334","0.2277"
"","14.1400","0.2338","0.1818"
"","14.1600","0.2342","0.1472"
"","14.1800","0.2345","0.1916"
"","14.2000","0.2349","0.2075"
"","14.2200","0.2352","0.2332"
"","14.2400","0.2356","0.2365"
"","14.2600","0.2360","0.2182"
"","14.2800","0.2364","0.2853"
"","14.3000","0.2367","0.2105"
"","14.3200","0.2369","0.1809"
"","14.3400","0.2372","0.0655"
"","14.3600","0.2374","0.1542"
"","14.3800","0.2376","0.1719"
"","14.4000","0.2379","0.2168"
"","14.4200","0.2382","0.2697"
"","14.4400","0.2386","0.2742"
"","14.4600","0.2390","0.1900"
"","14.4800","0.2394","0.1468"
"","14.5000","0.2399","0.1686"
"","14.5200","0.2402","0.1249"
"","14.5400","0.2405","0.2074"
"","14.5600","0.2408","0.2631"
"","14.5800","0.2412","0.2067"
"","14.6000","0.2415","0.1601"
"","14.6200","0.2418","0.2271"
"","14.6400","0.2421","0.1862"
"","14.6600","0.2424","0.1905"
"","14.6800","0.2428","0.2201"
"","14.7000","0.2430","0.2239"
"","14.7200","0.2433","0.2840"
"","14.7400","0.2436","0.3114"
"","14.7600","0.2439","0.1686"
"","14.7800","0.2443","0.1514"
"","14.8000","0.2447","0.2062"
"","14.8200","0.2451","0.2205"
"","14.8400","0.2455","0.2146"
"","14.8600","0.2459","0.1961"
"","14.8800","0.2462","0.0926"
"","14.9000","0.2465","0.1510"
"","14.9200","0.2469","0.2368"
"","14.9400","0.2473","0.2474"
"","14.9600","0.2476","0.2524"
"","14.9800","0.2480","0.3607"
"","15.0000","0.2482","0.2925"
"","15.0200","0.2485","0.2528"
"","15.0400","0.2487","0.1761"
"","15.0600","0.2490","0.1380"
"","15.0800","0.2492","0.1563"
"","15.1000","0.2495","0.3404"
